time,dt,open,high,low,close,volume
1750953600,2025-06-26 16:00:00+00:00,2432.35,2436.45,2424.1,2428.4,276613.0
1750954500,2025-06-26 16:15:00+00:00,2428.3,2431.7,2422.3,2429.0,233197.0
1750955400,2025-06-26 16:30:00+00:00,2428.9,2429.8,2423.0,2424.05,105320.0
1750956300,2025-06-26 16:45:00+00:00,2423.95,2427.2,2417.05,2427.2,216700.0
1750957200,2025-06-26 17:00:00+00:00,2427.2,2435.35,2421.6,2422.15,278199.0
1750958100,2025-06-26 17:15:00+00:00,2422.55,2428.4,2420.45,2425.95,151057.0
1750959000,2025-06-26 17:30:00+00:00,2426.0,2429.1,2423.6,2427.35,117945.0
1750959900,2025-06-26 17:45:00+00:00,2427.3,2429.95,2418.35,2419.7,165532.0
1750960800,2025-06-26 18:00:00+00:00,2420.0,2431.9,2417.15,2430.5,186270.0
1750961700,2025-06-26 18:15:00+00:00,2430.85,2437.9,2423.3,2425.3,270655.0
1750962600,2025-06-26 18:30:00+00:00,2425.15,2426.3,2418.7,2425.65,218997.0
1750963500,2025-06-26 18:45:00+00:00,2425.5,2428.45,2420.05,2424.9,112186.0
1750964400,2025-06-26 19:00:00+00:00,2424.95,2430.3,2421.75,2427.05,84150.0
1750965300,2025-06-26 19:15:00+00:00,2427.4,2434.55,2426.55,2429.1,113769.0
1750966200,2025-06-26 19:30:00+00:00,2429.1,2439.4,2428.75,2437.85,168609.0
1750967100,2025-06-26 19:45:00+00:00,2437.65,2442.55,2433.8,2435.05,120079.0
1750968000,2025-06-26 20:00:00+00:00,2434.05,2443.15,2429.45,2438.5,152433.0
1750968900,2025-06-26 20:15:00+00:00,2438.55,2444.55,2437.7,2443.0,60464.0
1750969800,2025-06-26 20:30:00+00:00,2442.95,2456.35,2442.2,2456.2,198776.0
1750970700,2025-06-26 20:45:00+00:00,2456.05,2456.95,2442.05,2444.6,95458.0
1750971600,2025-06-26 21:00:00+00:00,2444.9,2444.9,2417.45,2422.35,169302.0
1750972500,2025-06-26 21:15:00+00:00,2421.55,2429.2,2418.6,2426.1,98758.0
1750973400,2025-06-26 21:30:00+00:00,2426.2,2430.1,2393.3,2409.8,349198.0
1750974300,2025-06-26 21:45:00+00:00,2409.4,2416.65,2405.0,2413.55,100580.0
1750975200,2025-06-26 22:00:00+00:00,2413.0,2424.0,2410.9,2412.2,75900.0
1750976100,2025-06-26 22:15:00+00:00,2412.5,2422.6,2411.35,2418.95,44212.0
1750977000,2025-06-26 22:30:00+00:00,2419.2,2420.95,2411.7,2412.0,34091.0
1750977900,2025-06-26 22:45:00+00:00,2411.9,2418.4,2411.5,2412.85,27526.0
1750978800,2025-06-26 23:00:00+00:00,2412.95,2414.85,2405.0,2405.7,48986.0
1750979700,2025-06-26 23:15:00+00:00,2405.8,2416.75,2405.7,2414.55,55280.0
1750980600,2025-06-26 23:30:00+00:00,2413.75,2416.7,2411.45,2414.1,31098.0
1750981500,2025-06-26 23:45:00+00:00,2413.95,2416.2,2411.95,2415.45,18942.0
1750982400,2025-06-27 00:00:00+00:00,2414.45,2420.9,2414.0,2415.35,47599.0
1750983300,2025-06-27 00:15:00+00:00,2415.9,2419.8,2415.25,2418.55,27020.0
1750984200,2025-06-27 00:30:00+00:00,2418.55,2419.3,2405.6,2407.45,74331.0
1750985100,2025-06-27 00:45:00+00:00,2407.15,2410.35,2399.2,2399.75,137163.0
1750986000,2025-06-27 01:00:00+00:00,2399.75,2421.75,2379.75,2417.85,383060.0
1750986900,2025-06-27 01:15:00+00:00,2418.45,2426.85,2412.55,2422.1,173550.0
1750987800,2025-06-27 01:30:00+00:00,2421.85,2429.3,2420.65,2426.85,91232.0
1750988700,2025-06-27 01:45:00+00:00,2426.75,2431.4,2424.65,2425.7,99910.0
1750989600,2025-06-27 02:00:00+00:00,2425.75,2430.7,2422.85,2429.35,131246.0
1750990500,2025-06-27 02:15:00+00:00,2429.45,2433.55,2429.25,2430.4,79757.0
1750991400,2025-06-27 02:30:00+00:00,2430.8,2436.3,2429.8,2434.35,97870.0
1750992300,2025-06-27 02:45:00+00:00,2434.25,2439.7,2433.15,2437.2,104063.0
1750993200,2025-06-27 03:00:00+00:00,2437.95,2441.9,2431.9,2432.1,137169.0
1750994100,2025-06-27 03:15:00+00:00,2432.1,2444.3,2432.1,2441.05,113507.0
1750995000,2025-06-27 03:30:00+00:00,2440.8,2444.35,2439.7,2443.35,75605.0
1750995900,2025-06-27 03:45:00+00:00,2443.25,2448.35,2443.0,2446.25,96965.0
1750996800,2025-06-27 04:00:00+00:00,2446.35,2447.0,2443.55,2444.65,79662.0
1750997700,2025-06-27 04:15:00+00:00,2444.75,2450.5,2438.75,2448.35,237052.0
1750998600,2025-06-27 04:30:00+00:00,2448.45,2452.8,2447.75,2448.9,169784.0
1750999500,2025-06-27 04:45:00+00:00,2449.2,2452.45,2448.15,2449.0,117350.0
1751000400,2025-06-27 05:00:00+00:00,2449.0,2452.2,2445.3,2448.5,144303.0
1751001300,2025-06-27 05:15:00+00:00,2448.4,2448.85,2434.4,2435.85,245738.0
1751002200,2025-06-27 05:30:00+00:00,2435.85,2439.05,2433.8,2438.0,146581.0
1751003100,2025-06-27 05:45:00+00:00,2438.0,2440.1,2436.45,2438.7,110825.0
1751004000,2025-06-27 06:00:00+00:00,2438.7,2443.7,2435.85,2442.4,168914.0
1751004900,2025-06-27 06:15:00+00:00,2442.4,2447.0,2438.5,2440.5,158779.0
1751005800,2025-06-27 06:30:00+00:00,2440.5,2446.25,2438.5,2445.1,80374.0
1751006700,2025-06-27 06:45:00+00:00,2445.4,2449.9,2443.2,2447.55,154363.0
1751007600,2025-06-27 07:00:00+00:00,2447.65,2452.0,2444.45,2451.35,122950.0
1751008500,2025-06-27 07:15:00+00:00,2451.55,2459.15,2443.15,2445.1,395786.0
1751009400,2025-06-27 07:30:00+00:00,2445.0,2445.3,2437.2,2438.3,222061.0
1751010300,2025-06-27 07:45:00+00:00,2438.45,2442.25,2436.85,2441.7,107506.0
1751011200,2025-06-27 08:00:00+00:00,2441.6,2444.4,2434.5,2438.8,206163.0
1751012100,2025-06-27 08:15:00+00:00,2438.8,2441.7,2436.6,2437.1,121911.0
1751013000,2025-06-27 08:30:00+00:00,2437.15,2449.55,2436.35,2448.8,241312.0
1751013900,2025-06-27 08:45:00+00:00,2449.1,2464.05,2444.15,2447.75,481437.0
1751014800,2025-06-27 09:00:00+00:00,2447.85,2449.7,2441.5,2445.55,184591.0
1751015700,2025-06-27 09:15:00+00:00,2445.45,2453.55,2445.45,2447.5,133446.0
1751016600,2025-06-27 09:30:00+00:00,2447.8,2456.45,2447.8,2455.05,143321.0
1751017500,2025-06-27 09:45:00+00:00,2455.3,2463.25,2453.0,2460.0,230162.0
1751018400,2025-06-27 10:00:00+00:00,2460.1,2461.25,2449.5,2451.05,239513.0
1751019300,2025-06-27 10:15:00+00:00,2451.1,2453.65,2446.4,2450.9,168796.0
1751020200,2025-06-27 10:30:00+00:00,2450.9,2453.35,2446.5,2448.5,90690.0
1751021100,2025-06-27 10:45:00+00:00,2448.8,2450.7,2445.05,2445.45,149898.0
1751022000,2025-06-27 11:00:00+00:00,2445.2,2449.65,2445.15,2448.6,106576.0
1751022900,2025-06-27 11:15:00+00:00,2448.6,2454.4,2442.65,2443.2,251669.0
1751023800,2025-06-27 11:30:00+00:00,2443.25,2446.15,2441.65,2444.75,119315.0
1751024700,2025-06-27 11:45:00+00:00,2444.4,2447.15,2442.55,2446.9,90222.0
1751025600,2025-06-27 12:00:00+00:00,2446.8,2450.05,2443.4,2448.85,119411.0
1751026500,2025-06-27 12:15:00+00:00,2448.45,2456.7,2447.1,2452.2,246310.0
1751027400,2025-06-27 12:30:00+00:00,2452.0,2452.4,2435.65,2437.85,521177.0
1751028300,2025-06-27 12:45:00+00:00,2437.6,2440.2,2425.9,2429.3,474315.0
1751029200,2025-06-27 13:00:00+00:00,2429.1,2434.9,2424.0,2434.6,292078.0
1751030100,2025-06-27 13:15:00+00:00,2434.5,2436.15,2421.45,2425.15,331531.0
1751031000,2025-06-27 13:30:00+00:00,2425.1,2435.3,2422.95,2427.7,344201.0
1751031900,2025-06-27 13:45:00+00:00,2427.55,2429.4,2416.15,2427.4,490347.0
1751032800,2025-06-27 14:00:00+00:00,2427.4,2437.75,2422.9,2423.0,430779.0
1751033700,2025-06-27 14:15:00+00:00,2423.05,2427.65,2415.75,2419.75,346002.0
1751034600,2025-06-27 14:30:00+00:00,2419.9,2425.95,2413.05,2422.8,296184.0
1751035500,2025-06-27 14:45:00+00:00,2423.0,2427.7,2420.35,2422.8,148906.0
1751036400,2025-06-27 15:00:00+00:00,2422.4,2426.2,2418.7,2422.5,143735.0
1751037300,2025-06-27 15:15:00+00:00,2423.95,2430.85,2420.45,2430.0,164336.0
1751038200,2025-06-27 15:30:00+00:00,2430.1,2440.55,2428.15,2437.55,506253.0
1751039100,2025-06-27 15:45:00+00:00,2438.05,2442.45,2433.45,2438.0,312003.0
1751040000,2025-06-27 16:00:00+00:00,2438.15,2440.35,2432.2,2432.8,278034.0
1751040900,2025-06-27 16:15:00+00:00,2432.85,2436.8,2430.95,2435.05,215861.0
1751041800,2025-06-27 16:30:00+00:00,2434.95,2448.95,2434.95,2436.4,498774.0
1751042700,2025-06-27 16:45:00+00:00,2436.3,2437.1,2431.2,2432.7,228400.0
1751043600,2025-06-27 17:00:00+00:00,2432.65,2433.15,2418.3,2420.1,540425.0
1751044500,2025-06-27 17:15:00+00:00,2420.15,2425.55,2414.45,2415.9,292658.0
1751045400,2025-06-27 17:30:00+00:00,2415.85,2418.45,2403.65,2404.5,542246.0
1751046300,2025-06-27 17:45:00+00:00,2404.35,2407.15,2394.4,2403.9,694534.0
1751047200,2025-06-27 18:00:00+00:00,2403.9,2408.1,2400.7,2401.65,237933.0
1751048100,2025-06-27 18:15:00+00:00,2401.55,2405.8,2394.45,2396.7,341231.0
1751049000,2025-06-27 18:30:00+00:00,2396.7,2400.65,2388.45,2391.5,443000.0
1751049900,2025-06-27 18:45:00+00:00,2391.55,2394.5,2387.4,2394.25,236398.0
1751050800,2025-06-27 19:00:00+00:00,2394.25,2410.0,2391.35,2405.8,421917.0
1751051700,2025-06-27 19:15:00+00:00,2405.55,2409.95,2401.2,2406.0,115663.0
1751052600,2025-06-27 19:30:00+00:00,2406.0,2409.9,2403.4,2408.8,82717.0
1751053500,2025-06-27 19:45:00+00:00,2408.5,2416.95,2408.5,2412.0,210494.0
1751054400,2025-06-27 20:00:00+00:00,2412.15,2422.35,2410.7,2418.0,195440.0
1751055300,2025-06-27 20:15:00+00:00,2418.05,2424.25,2418.0,2421.95,89232.0
1751056200,2025-06-27 20:30:00+00:00,2422.05,2425.3,2420.1,2424.1,85377.0
1751057100,2025-06-27 20:45:00+00:00,2424.6,2427.55,2420.85,2425.95,102576.0
1751058000,2025-06-27 21:00:00+00:00,2425.95,2427.85,2421.05,2421.3,53962.0
1751058900,2025-06-27 21:15:00+00:00,2421.2,2428.05,2416.45,2427.4,89270.0
1751059800,2025-06-27 21:30:00+00:00,2427.3,2429.2,2419.5,2421.05,51559.0
1751060700,2025-06-27 21:45:00+00:00,2421.05,2424.1,2418.45,2419.35,21113.0
1751061600,2025-06-27 22:00:00+00:00,2419.4,2424.2,2419.35,2421.0,35976.0
1751062500,2025-06-27 22:15:00+00:00,2420.65,2423.55,2420.45,2420.95,10317.0
1751063400,2025-06-27 22:30:00+00:00,2421.05,2424.65,2419.0,2422.0,31085.0
1751064300,2025-06-27 22:45:00+00:00,2421.3,2424.15,2421.25,2422.05,13029.0
1751065200,2025-06-27 23:00:00+00:00,2421.65,2423.95,2419.65,2421.15,14483.0
1751066100,2025-06-27 23:15:00+00:00,2420.25,2420.6,2416.1,2416.2,21823.0
1751067000,2025-06-27 23:30:00+00:00,2416.0,2419.9,2414.6,2419.3,47147.0
1751067900,2025-06-27 23:45:00+00:00,2419.5,2423.5,2419.45,2422.25,32750.0
1751068800,2025-06-28 00:00:00+00:00,2422.4,2423.6,2416.55,2416.55,33822.0
1751069700,2025-06-28 00:15:00+00:00,2416.6,2420.8,2416.6,2420.1,21650.0
1751070600,2025-06-28 00:30:00+00:00,2420.1,2421.3,2417.35,2419.0,27450.0
1751071500,2025-06-28 00:45:00+00:00,2419.2,2422.95,2416.65,2417.7,35921.0
1751072400,2025-06-28 01:00:00+00:00,2417.25,2419.7,2412.65,2413.1,65646.0
1751073300,2025-06-28 01:15:00+00:00,2413.05,2414.1,2408.8,2411.85,84354.0
1751074200,2025-06-28 01:30:00+00:00,2411.95,2413.8,2405.55,2413.4,83418.0
1751075100,2025-06-28 01:45:00+00:00,2413.5,2418.4,2412.75,2417.2,95869.0
1751076000,2025-06-28 02:00:00+00:00,2417.6,2418.65,2414.1,2414.75,69166.0
1751076900,2025-06-28 02:15:00+00:00,2414.75,2421.15,2414.75,2420.7,87878.0
1751077800,2025-06-28 02:30:00+00:00,2420.6,2422.35,2419.5,2420.35,77582.0
1751078700,2025-06-28 02:45:00+00:00,2420.45,2420.45,2417.85,2418.2,44316.0
1751079600,2025-06-28 03:00:00+00:00,2418.25,2420.05,2415.6,2417.0,48681.0
1751080500,2025-06-28 03:15:00+00:00,2417.1,2422.2,2417.1,2420.15,65977.0
1751081400,2025-06-28 03:30:00+00:00,2420.25,2421.8,2418.0,2420.3,38277.0
1751082300,2025-06-28 03:45:00+00:00,2420.65,2422.0,2418.7,2420.25,39773.0
1751083200,2025-06-28 04:00:00+00:00,2420.25,2421.35,2417.75,2418.25,41299.0
1751084100,2025-06-28 04:15:00+00:00,2418.25,2420.8,2417.0,2420.8,37727.0
1751085000,2025-06-28 04:30:00+00:00,2420.8,2420.8,2418.15,2419.7,29358.0
1751085900,2025-06-28 04:45:00+00:00,2419.7,2421.0,2418.4,2420.5,26864.0
1751086800,2025-06-28 05:00:00+00:00,2420.6,2428.45,2420.45,2427.6,182031.0
1751087700,2025-06-28 05:15:00+00:00,2427.7,2427.8,2422.7,2423.5,87299.0
1751088600,2025-06-28 05:30:00+00:00,2423.4,2425.45,2418.2,2418.5,142220.0
1751089500,2025-06-28 05:45:00+00:00,2418.4,2422.0,2417.65,2421.4,89400.0
1751090400,2025-06-28 06:00:00+00:00,2421.5,2426.0,2421.15,2425.85,109485.0
1751091300,2025-06-28 06:15:00+00:00,2425.8,2426.3,2423.0,2425.3,71284.0
1751092200,2025-06-28 06:30:00+00:00,2425.3,2425.35,2422.7,2424.05,80729.0
1751093100,2025-06-28 06:45:00+00:00,2424.5,2427.2,2422.7,2426.65,52051.0
1751094000,2025-06-28 07:00:00+00:00,2426.65,2427.0,2423.25,2424.75,41650.0
1751094900,2025-06-28 07:15:00+00:00,2424.75,2427.35,2423.7,2426.55,63392.0
1751095800,2025-06-28 07:30:00+00:00,2426.45,2428.35,2425.85,2427.25,97769.0
1751096700,2025-06-28 07:45:00+00:00,2427.5,2433.4,2427.1,2430.95,257755.0
1751097600,2025-06-28 08:00:00+00:00,2431.05,2431.7,2420.0,2421.8,350580.0
1751098500,2025-06-28 08:15:00+00:00,2421.75,2425.0,2418.8,2423.25,161525.0
1751099400,2025-06-28 08:30:00+00:00,2423.35,2425.0,2421.75,2422.7,52008.0
1751100300,2025-06-28 08:45:00+00:00,2422.7,2423.8,2420.55,2423.8,57339.0
1751101200,2025-06-28 09:00:00+00:00,2423.6,2424.45,2419.75,2420.4,89169.0
1751102100,2025-06-28 09:15:00+00:00,2420.5,2423.85,2418.95,2423.2,79485.0
1751103000,2025-06-28 09:30:00+00:00,2423.2,2427.5,2423.2,2425.1,110871.0
1751103900,2025-06-28 09:45:00+00:00,2425.1,2428.15,2425.05,2426.0,69958.0
1751104800,2025-06-28 10:00:00+00:00,2426.1,2428.1,2426.1,2427.1,74826.0
1751105700,2025-06-28 10:15:00+00:00,2427.0,2429.5,2424.8,2428.9,103194.0
1751106600,2025-06-28 10:30:00+00:00,2428.8,2429.5,2423.35,2424.65,80293.0
1751107500,2025-06-28 10:45:00+00:00,2424.55,2425.65,2423.3,2425.65,53365.0
1751108400,2025-06-28 11:00:00+00:00,2425.65,2428.25,2425.6,2427.1,63333.0
1751109300,2025-06-28 11:15:00+00:00,2426.9,2428.2,2425.7,2427.5,54018.0
1751110200,2025-06-28 11:30:00+00:00,2427.4,2427.7,2425.6,2427.6,34637.0
1751111100,2025-06-28 11:45:00+00:00,2427.15,2428.0,2425.6,2426.65,48879.0
1751112000,2025-06-28 12:00:00+00:00,2426.9,2427.4,2424.75,2425.15,45286.0
1751112900,2025-06-28 12:15:00+00:00,2425.4,2425.5,2421.6,2423.4,101141.0
1751113800,2025-06-28 12:30:00+00:00,2423.3,2427.65,2423.3,2425.7,58007.0
1751114700,2025-06-28 12:45:00+00:00,2425.7,2427.0,2424.25,2425.4,41306.0
1751115600,2025-06-28 13:00:00+00:00,2425.4,2428.6,2425.4,2426.45,36915.0
1751116500,2025-06-28 13:15:00+00:00,2426.45,2426.55,2421.9,2423.6,76800.0
1751117400,2025-06-28 13:30:00+00:00,2423.6,2423.6,2419.05,2421.8,156307.0
1751118300,2025-06-28 13:45:00+00:00,2421.95,2422.75,2420.65,2422.3,44784.0
